id_num,"from_date","to_date","name","ev_desc","isBigEvent","isAllDay"
1,"2011-12-11 10:00:00","2011-12-11 11:00:00","Choir Cantata:  “Shout the Good News”","","Y","N"
2,"2011-12-18 10:00:00","2011-12-18 11:00:00","Children’s Christmas Program: “The Birth of Jesus”","","Y","N"
3,"2011-12-24 19:00:00","2011-12-24 20:30:00","Early Christmas Eve Service","","Y","N"
4,"2011-12-24 22:30:00","2011-12-24 00:00:00","Late Christmas Eve Service","","Y","N"
5,"2011-12-25 10:00:00","2011-12-25 00:00:00","Christmas Day Service of Lessons and Carols","<p>This year Christmas Day falls on a Sunday and so we will gather for worship as we normally do. This service will be a service of readings and carols and will continue our celebration of Jesus&rsquo; birth from the night before.</p>","Y","N"
6,"2011-12-12 19:00:00","2011-12-12 20:00:00","Church Council","","","N"
7,"2011-12-12 19:00:00","2011-12-12 20:00:00","Boy Scouts","","","N"
8,"2011-12-13 09:00:00","2011-12-13 10:00:00","Work Day","","","N"
9,"2011-12-14 13:00:00","2011-12-14 14:00:00","Ministerial Association ","","","N"
10,"2011-12-14 18:30:00","2011-12-14 19:30:00","Rock Club Potluck","","","N"
11,"2011-12-14 19:00:00","2011-12-14 20:00:00","7th & 8th Confirmation","","","N"
12,"2011-12-14 20:00:00","2011-12-14 21:00:00","AA Meeting","","","N"
13,"2011-12-15 18:30:00","2011-12-15 19:30:00","TOPS","","","N"
14,"2011-12-15 18:45:00","2011-12-15 19:30:00","Bell Ringers","","","N"
15,"2011-12-15 19:30:00","2011-12-15 20:30:00","Chancel Chior","","","N"
16,"2011-12-16 19:00:00","2011-12-16 22:00:00","Movie Night","<p>The Outreach and Communications Ministry are sponsoring free Movie Nights - all are welcome.</p>
<p>A Christmas Movie for the whole family will be announced - watch for the information to come!. Any ideas for a movie??? Suggestions are welcome!</p>
<p>Invite friends, family and neighbors for a night out at the movies - plus some popcorn, fellowship and some fun viewing.</p>","","N"
17,"2011-12-17 11:00:00","2011-12-17 16:00:00","Outside Group","","","N"
18,"2011-12-17 20:00:00","2011-12-17 21:00:00","AA Meeting","","","N"
19,"2011-12-19 19:00:00","2011-12-19 20:00:00","Boy Scouts","","","N"
20,"2011-12-21 20:00:00","2011-12-21 21:00:00","AA Meeting","","","N"
21,"2011-12-22 18:30:00","2011-12-22 19:30:00","TOPS","","","N"
22,"2011-12-22 18:45:00","2011-12-22 19:30:00","Bell Ringers","","","N"
23,"2011-12-22 19:30:00","2011-12-22 20:30:00","Chancel Chior","","","N"
24,"2011-12-28 19:00:00","2011-12-28 20:00:00","7th & 8th Confirmation","","","N"
25,"2011-12-28 20:00:00","2011-12-28 21:00:00","AA Meeting","","","N"
26,"2011-12-29 18:30:00","2011-12-29 19:30:00","TOPS","","","N"
27,"2012-01-20 19:00:00","2012-01-20 22:00:00","Free Movie Night","<p>The Outreach and Communications Ministry are sponsoring free Movie Nights - all are welcome.</p>
<p>A Christmas Movie for the whole family will be announced - watch for the information to come!. Any ideas for a movie??? Suggestions are welcome!</p>
<p>Invite friends, family and neighbors for a night out at the movies - plus some popcorn, fellowship and some fun viewing.</p>","Y","N"
28,"2012-01-11 13:00:00","2012-01-11 14:00:00","Waterford Ministerial Meeting","","","N"
29,"2012-01-11 20:00:00","2012-01-11 21:00:00","AA Meeting","","","N"
30,"2012-01-12 18:30:00","2012-01-12 07:30:00","TOPS","","","N"
31,"2012-01-12 18:45:00","2012-01-12 19:30:00","Bell Choir","","","N"
32,"2012-01-12 19:30:00","2012-01-12 20:15:00","Chancel Chior","","","N"
33,"2012-01-14 13:00:00","2012-01-14 15:00:00","SCSA","","","N"
34,"2012-01-14 20:00:00","2012-01-14 21:00:00","AA Meeting","","","N"
35,"2012-01-15 10:00:00","2012-01-15 11:00:00","2nd Sunday after Epiphany","<p>10:00 am Communion Service</p>
<p>10:10 am 6th Grade Confirmation</p>
<p>10:10 am Sunday Alive</p>","","N"
36,"2012-01-15 18:30:00","2012-01-15 19:30:00","Adult Discussion","","","N"
37,"2012-01-16 18:30:00","2012-01-16 19:30:00","Men’s Food and Fellowship","","","N"
38,"2012-01-16 19:00:00","2012-01-16 20:00:00","Boy Scouts","","","N"
39,"2012-01-17 19:00:00","2012-01-17 20:00:00","New Member Class","","","N"
40,"2012-01-18 23:00:00","2012-01-18 12:00:00","Ecumenical Service at St. Andrews - Waterford","","","N"
41,"2012-01-18 20:00:00","2012-01-18 21:00:00","AA Meeting","","","N"
42,"2012-01-19 18:45:00","2012-01-19 19:30:00","Bell Choir","","","N"
43,"2012-01-19 19:30:00","2012-01-19 20:15:00","Chancel Chior","","","N"
44,"2012-01-19 18:30:00","2012-01-19 19:30:00","TOPS","","","N"
45,"2012-01-21 20:00:00","2012-01-21 21:00:00","AA Meeting","","","N"
46,"2012-01-22 10:00:00","2012-01-22 11:00:00","3rd Sunday after Epiphany","<p>10:00 am Communion Service</p>
<p>10:10 am Sunday Alive</p>
<p>Semi-Annual Meeting and Luncheon - after Worship</p>","","N"
47,"2012-01-23 19:00:00","2012-01-23 20:00:00","Boy Scouts","","","N"
48,"2012-01-24 09:00:00","2012-01-24 10:00:00","Work Day","","","N"
49,"2012-01-24 19:00:00","2012-01-24 20:00:00","New Member Class","","","N"
50,"2012-01-25 20:00:00","2012-01-25 21:00:00","AA Meeting","","","N"
51,"2012-01-26 18:45:00","2012-01-26 19:30:00","Bell Choir","","","N"
52,"2012-01-26 19:30:00","2012-01-26 20:15:00","Chancel Chior","","","N"
53,"2012-01-28 13:00:00","2012-01-28 15:00:00","SCSA","","","N"
54,"2012-01-28 20:00:00","2012-01-28 21:00:00","AA Meeting","","","N"
55,"2012-01-29 10:00:00","2012-01-29 11:00:00","4th Sunday after Epiphany","<p>10:00 am Worship Service - New Member Reception</p>","","N"
56,"2012-01-30 18:30:00","2012-01-30 19:30:00","New Member Supper","","","N"
57,"2012-01-30 19:00:00","2012-01-30 20:00:00","Boy Scouts","","","N"
58,"2012-02-01 18:30:00","2012-02-01 19:30:00","Rock Club","","","N"
59,"2012-02-01 20:00:00","2012-02-01 21:00:00","AA Meeting","","","N"
60,"2012-02-02 10:00:00","2012-02-02 11:00:00","WELCA","","","N"
61,"2012-02-02 18:30:00","2012-02-02 19:30:00","TOPS","","","N"
62,"2012-02-02 18:45:00","2012-02-02 19:45:00","Bell Choir","","","N"
63,"2012-02-02 19:30:00","2012-02-02 20:30:00","Chancel Choir","","","N"
64,"2012-02-04 20:00:00","2012-02-04 21:00:00","AA Meeting","","","N"
65,"2012-02-05 10:00:00","2012-02-05 11:00:00","Communion Service","","","N"
66,"2012-02-05 10:10:00","2012-02-05 11:10:00","Sunday Alive!","","","N"
67,"2012-02-05 10:10:00","2012-02-05 11:10:00","6th Grade Confirmation","","","N"
68,"2012-02-05 11:30:00","2012-02-05 00:30:00","Worship & Music","","","N"
69,"2012-02-06 19:00:00","2012-02-06 20:00:00","Boy Scouts","","","N"
70,"2012-02-08 13:00:00","2012-02-08 14:00:00","Waterford Ministerial Association","","","N"
71,"2012-02-08 20:00:00","2012-02-08 21:00:00","AA Meeting","","","N"
72,"2012-02-09 18:45:00","2012-02-09 19:45:00","Bell Choir","","","N"
73,"2012-02-09 19:30:00","2012-02-09 20:30:00","Chancel Choir","","","N"
74,"2012-02-09 18:30:00","2012-02-09 19:30:00","TOPS","","","N"
75,"2012-02-11 08:00:00","2012-02-11 09:00:00","Walk for Warmth","<p>The location for this year?s Walk for Warmth has been changed to Great Lakes. This event,&nbsp;sponsored by the Oakland Livingston Human Service Agency raises funds for emergency utility&nbsp;assistance for those in need. In the past we have had a team of &ldquo;Holy Strollers&rdquo; participating.&nbsp;You may sign-up Sundays at worship or call the church office. If you cannot walk in the event&nbsp;please support someone who is.</p>","Y","N"
76,"2012-02-11 13:00:00","2012-02-11 15:00:00","SCSA","","","N"
77,"2012-02-11 18:00:00","2012-02-11 19:00:00","Chili Cook-Off","","Y","N"
78,"2012-02-11 20:00:00","2012-02-11 21:00:00","AA Meeting","","","N"
79,"2012-02-12 10:00:00","2012-02-12 11:00:00","Communion Worship","","","N"
80,"2012-02-13 19:00:00","2012-02-13 20:00:00","Church Council","","","N"
81,"2012-02-13 19:00:00","2012-02-13 20:00:00","Boy Scouts","","","N"
82,"2012-02-14 09:00:00","2012-02-14 10:00:00","Work Day","","","N"
83,"2012-02-15 19:00:00","2012-02-15 20:00:00","Yard Sale Meeting","","","N"
84,"2012-02-15 20:00:00","2012-02-15 21:00:00","AA Meeting","","","N"
85,"2012-02-16 18:45:00","2012-02-16 19:45:00","Bell Choir","","","N"
86,"2012-02-16 19:30:00","2012-02-16 20:30:00","Chancel Choir","","","N"
87,"2012-02-16 18:30:00","2012-02-16 19:30:00","TOPS","","","N"
88,"2012-02-17 19:00:00","2012-02-17 20:00:00","Movie Night","","","N"
89,"2012-02-18 20:00:00","2012-02-18 21:00:00","AA Meeting","","","N"
90,"2012-02-19 10:00:00","2012-02-19 11:00:00","Communion Worship","","","N"
91,"2012-02-19 10:10:00","2012-02-19 11:10:00","Sunday Alive!","","","N"
92,"2012-02-19 10:10:00","2012-02-19 11:10:00","6th Grade Confirmation","","","N"
93,"2012-02-19 18:30:00","2012-02-19 19:30:00","Adult Discussion \"End of Life\"","","","N"
